Date,Time,Town,County,Occupation,Description
2001-02-26,23:00,,Leicestershire,,"A UFO. It had bright red, blue and orange flashing lights, in the shape of a tri-angle. Remained stationary for 15 minutes."
2001-05-20,01:15,,Humberside,,Small blobs of rings with a larger ring around them. White and very bright. Stationary.
2001-07-02,19:30 Hampstead Gardens,,London,,One dome shaped object. Very dark. Was directly above and moving slowly.
2001-08-01,08:20 Ilkley,,West Yorkshire,,"One, silver, fountain pen shaped object, described as an aircraft without wings."
2001-09-15,05:00 Swindon,,Wiltshire,,"One white/very bright object. Moving vertically, then remained stationary, with occasional bursts of light. Seen for over an hour."
2001-09-17,06:00 Aslockton,,Nottinghamshire,,"There was a light through the witness's window, which seemed to be quite a distance away, and moving slowly."
2001-12-31,09:00 Leeds,,West Yorkshire,,"Looked like a bright orange tear drop shaped object, that appeared to have lightning coming from its sides."
2001-12-31,20:30 Bingham,,Notts,,"One opal shaped object with lights, that were orange, red, blue and white. Was very bright."
2001-12-31,21:00 Malvern,,Worcestershire,,"One object, the shape of a star. Triangular red lights. There were also yellow and blue rays. Was hovering. Pulsated and then vanished."
2001-12-31,,Castle Donington,Leicestershire,,"A bright, green light was moving at very high speed. The object appeared to land near Kegworth over the M1"
2001-12-31,"18:45 Crewe, Leighton",,Cheshire,,"Silver ball, really bright. Was lower than an aircraft and moving in a straight line. (Message taken 17 Feb 2001)."
2002-03-07,,19:45 Hornchurch,Essex,,"Two semi circular, elliptical shapes dully illuminated yellow and white. There was a faint murmur."
2002-08-20,11:00,,,,"Green light coming down from the sky, had never seen anything like it before."
2002-09-11,10:40 Kirkcaldy,,Fife,,"There were three hanging silver rods. They were drifting slowly, then became bright silver and then faded away."
2002-11-15,12:15 Eyam,,Derbyshire,,"Large flying object, witness had never seen anything like it before. No lights whatsoever."
2002-11-15,21:30 Liverpool,,Merseyside,,Series of eight to ten lights all tracing a pattern in the sky.
2003-05-25,,18:15 Heathrow Airport,London,,"A ball of light, with no colour, passed under an aircraft, front to back, very fast."
2003-05-25,18:30,,,,"Saw a black triangle flying quite fast and silently, through the sky in a single direction."
2003-07-14,20:00 Hereford,,Herefordshire,MOD Police,A stationary triangular object was seen. The object remained stationary for about 30 minutes at quite a height.
2003-09-04,14:00 Lincoln,,Lincolnshire,,"The object was cigar shaped, grey in colour with domed ends, was silent and very slow."
2003-09-17,21:40 Heckmondwike,,West Yorkshire,Senior Curator/Royal Armouries Museum,"Two circular objects, about half the apparent size of the moon, that were a very dull yellow."
2003-09-17,20:15 Great Yarmouth,,Norfolk,,Bright as Mars. White light. Dim brightness. Moved in a South East direction.
2003-12-17,01:20 Aylesbury,,Buckinghamshire,,"Nothing was seen, but a loud noise was heard, like a balloon letting out air."
2003-12-29,01:30 Thame,,Oxfordshire,Editor of a newspaper,"A loud noise like a hot air balloon was heard, but nothing was seen."
2004-03-25,21:00 Peterborough,,Cambridgeshire,,"Four dull red lights above the house, travelling fast and low."
2004-06-04,23:50,,,,Two objects were both an orange colour and were disc shaped. They looked like aircraft without wings and were very silent.
2004-11-09,,Swindon,Wiltshire,,Saw a big orange disc going from East to West. Said the object was totally silent and moving quite slowly.
2005-02-20,,St Clements,Cornwall,,A bright light was seen heading towards the earth through the clouds.
2005-02-20,05:00 Port Talbot,,West Glamorgan,,"Looked like an orange ball of light, like a big star in the sky and it had spiderish legs."
2005-02-20,,16:30 Scarborough,North Yorkshire,,Light bulbs in the sky. (From the Scarborough Evening Post).
2005-02-20,,17:50 Wellingborough,Northamptonshire,,"Witnessed a V shaped object, which had bright lights, and sounded like bees."
2005-02-20,,20:00 Bridlington North Bay,East Yorkshire,,A group of lights in the sky were moving erratically to the West. They just seemed to fade away.
2005-02-20,22:55 Orpington,,London,,A massive light. The object was shaped like an iron. Didn't move at all.
2005-02-21,01:00 Selby,,North Yorkshire,,"A white light was moving slow in the direction of Hull like it was floating, but it stopped after a couple of minutes."
2005-06-18,17:00 A64,,,,Silver ball that was stationary and then disappeared in to a cloud.
2005-08-02,15:15,,Kent,,"Was a small white object, that was moving parallel with an airliner."
2005-08-06,16:45 St Neots,,Cambridgeshire,,"The object looked like a rod. Through binoculars it appeared to shine silver, but was grey to the naked eye. Was moving around."
2006-07-20,,21:25 Pegwell Bay/Ramsgate,Kent,,"A UFO, Shooting Star or something was seen, couldn't really make out what it was! Was bright blue/white in colour."
2006-07-29,22:00 Crewe,,Cheshire,,Very bright lights were seen for over half an hour. They were hovering quite slowly from side to side.
2006-07-29,22:45 West Kilbride,,Ayrshire,,There were two spheres and one was following the other. Looked like they were moving from side to side.
2006-09-22,17:05 Maidstone,,Kent,,"A large, round, white object, with smaller, round white objects randomly scattered surrounding it. The objects started to fade."
2007-03-29,05:00 Loch Creran,,Argyll,,"Slim, flat object like a plate, or pencil, lengthways. Circular light at either end and bigger in the centre. Stationary for 1-2 minutes."
2007-12-08,,23:15 Montford Bridge/Shrewsbury,Shropshire,,There was a convoy of white lights moving along the river bank. They were silent.
2008-03-03,01:30 Bath,,Somerset,,"The object looked like a low flying cloud, but there was a light flashing on it. The 
object was moving at a 100ft above ground level, and slowly across the sky."
2008-04-13,21:30 Uckfield,,East Sussex,,"Sixty orange glowing lights were seen, going across the sky in a trail. They were 
moving quite slowly."
2008-05-31,21:40 Poulton le Fylde,,Lancashire,,"A bright, white light was seen, moving in a North Easterly direction, on a slow even 
course. Was about 2000ft up in the sky."
2008-05-31,,19:16 Thorpe St. Andrew/Norwich,Norfolk,,"A ball that lit up and that lasted half a second. Then a really tiny star moved 
rapidly, faster than any satellite or aircraft the witness had seen."
2008-05-31,08:00 Bottesford,,Lincolnshire,,"A silver disc was seen, with an orange light in the middle of it. The object was 
flying up and down in the sky."
2008-08-07,22:40,Ashton Keynes,Wiltshire,,"There were ten to twenty, bright orange lights, 
that were manoeuvring across the sky. They 
were moving quite slowly."
2008-08-23,Not stated,Opposite House of Parliament,London,,"There was a craft that had green, red and 
white lights. It was still and static in the sky. It 
was seen for about an hour and a half."
